,name,price,standard_price,flag,category
60,witryna Zele 56 cm z 2 drzwiami dąb wotan/biały połysk,799,0.0,[],witryna
61,witryna Hesen 71 cm z 2 drzwiami grafitowa,1259,0.0,['Promocja'],witryna
62,narożnik lewostronny Lizbona III Maxi rozkładany z pojemnikami welurowy niebieski,7849,0.0,[],narożnik lewostronny
63,łóżko kontynentalne Milos 180x200 z pojemnikami beżowe,2699,0.0,['WYPRZEDAŻ'],łóżko kontynentalne
64,narożnik lewostronny Aron z funkcją spania i pojemnikiem welurowy beżowy,5899,0.0,['NOWOŚĆ'],narożnik lewostronny
65,łóżko Alameda 160x200 z pojemnikiem i stelażem biały połysk,1749,0.0,['Promocja'],łóżko
66,łóżko Alameda 140x200  z pojemnikiem i stelażem  biały połysk,2349,0.0,[],łóżko
67,szafa modułowa Flex 150 cm z drzwiami i lustrem biała,4642,0.0,[],szafa modułowa
68,"regał narożny MultiDo 71,5x71,5 cm z drzwiami  dąb artisan",659,0.0,['NOWOŚĆ'],regał narożny
69,witryna Zele 90 cm z 4 drzwiami  dąb wotan/biały połysk,1249,0.0,[],witryna
70,regał Nepo Plus 40 cm z 2 szufladami i 5 pólkami biały,459,0.0,[],regał
71,szafa jednodrzwiowa Flex 50 cm biała,1836,0.0,[],szafa jednodrzwiowa
72,szafa modułowa Flex 150 cm z drzwiami i lustrem grafit,4548,0.0,[],szafa modułowa
73,szafa przesuwna Loksa 270 cm sosna andersen biała/dąb grandson,2649,0.0,[],szafa przesuwna
74,regał Nandu 50 cm z 3 szufladami i 4 półkami jasny szary/dąb polski,589,0.0,['Promocja'],regał
75,łóżko Erla 160x200 ze stelażem i pojemnikiem białe,2049,0.0,[],łóżko
76,szafka wisząca Indiana 120 cm otwarta dąb sutter,149,0.0,['WYPRZEDAŻ'],szafka wisząca
77,sofa trzyosobowa Santana rozkładana z pojemnikiem szara,2959,0.0,['NOWOŚĆ'],sofa trzyosobowa
78,szafa dwudrzwiowa Bergen 102 cm z szufladą modrzew sibiu złoty,1499,0.0,[],szafa dwudrzwiowa
79,szafa modułowa Flex 178 x 203 cm narożna z drzwiami grafit,7302,0.0,[],szafa modułowa
80,komoda Balin 112 cm z drzwiami i 3 szufladami dąb monastery/dąb czarny,919,0.0,[],komoda
81,szafa czterodrzwiowa Azteca Trio 220 cm z lustrem biały połysk,3149,0.0,[],szafa czterodrzwiowa
82,Alameda 147 cm z drzwiami i 3 szufladami dąb westminster/biały połysk,1049,0.0,['Promocja'],
83,szafa narożna Nepo Plus 80x80 cm biały,599,0.0,['Promocja'],szafa narożna
84,ława Dodson,299,0.0,['WYPRZEDAŻ'],ława
85,narożnik prawostronny Moon rozkładany z pojemnikiem welurowy niebieski,5099,0.0,[],narożnik prawostronny
86,szafka nocna Kaspian 51 cm  z szufladą dąb sonoma,289,0.0,[],szafka nocna
87,ława Gent 130x65 z półką dąb stirling,489,0.0,[],ława
88,regał Indiana,349,0.0,['WYPRZEDAŻ'],regał
89,witryna Hesen 106 cm z drzwiami i 2 szufladami grafitowa,1639,0.0,['Promocja'],witryna
90,szafa dwudrzwiowa Holten 106 cm dąb waterford,1179,0.0,[],szafa dwudrzwiowa
91,ława Balin 110x60 z szufladami dąb monastery/dąb czarny,529,0.0,[],ława
92,szafa przesuwna Flex 260 cm z lustrem biała,8089,0.0,[],szafa przesuwna
93,szafka Nuis 135 cm trzydrzwiowa dąb wotan/biały połysk,619,0.0,['Promocja'],szafka
94,szafka kuchenna dolna Junona Line 60 cm z blatem kredowy połysk,374,0.0,[],szafka kuchenna dolna
95,szafka kuchenna górna Sole 80 cm dwudrzwiowa biały połysk,1313,0.0,[],szafka kuchenna górna
96,biurko Darin 100 cm ze schowkiem i oświetleniem LED białe,599,0.0,['WYPRZEDAŻ'],biurko
97,stół rozkładany Rolesław Max 140/190/240x95 biały ciepły,1099,0.0,['WYPRZEDAŻ'],stół rozkładany
98,szafa narożna Malcolm 96x96 cm dąb canyon monument nadruk/szary wolfram,1119,0.0,['Promocja'],szafa narożna
99,szafka kuchenna górna Junona Line 80 cm dwudrzwiowa dąb sonoma,246,0.0,[],szafka kuchenna górna
100,szafka kuchenna dolna narożna Junona Line prawa kredowy połysk zabudowuje naroże 100x60 cm,293,0.0,[],szafka kuchenna dolna narożna
101,szafa trzydrzwiowa Pont 160 cm dąb artisan/czarny mat,1429,0.0,['Promocja'],szafa trzydrzwiowa
102,ława Holten,339,0.0,[],ława
103,sofa trzyosobowa Torent rozkładana z pojemnikiem welurowa beżowa,2099,0.0,['Promocja'],sofa trzyosobowa
104,szafka na buty Esteban 80 cm z 2 drzwiami grafit/dąb evok,419,0.0,['NOWOŚĆ'],szafka na buty
105,witryna Zele 90 cm z 2 drzwiami dąb wotan/biały połysk,879,0.0,[],witryna
106,witryna Gent 98 cm z 2 drzwiami i 2 szufladami dąb stirling,2319,0.0,[],witryna
107,regał Zele 56 cm z 4 półkami dąb wotan,499,0.0,[],regał
108,regał Nepo Plus 114 cm z 9 półkami biały,579,0.0,[],regał
109,regał Balder 62 cm z drzwiami i szufladą dąb riviera/biały połysk,599,0.0,['Promocja'],regał
110,komplet do przedpokoju Nepo Plus 90 cm biały,639,0.0,[],komplet do przedpokoju
111,półka ścienna Zele 135 cm dąb wotan/biały połysk,99,0.0,[],półka ścienna
112,szafka kuchenna dolna Junona Line 50 cm wysoka prawa kredowy połysk,635,0.0,[],szafka kuchenna dolna
113,regał Gent 66 cm z drzwiami dąb stirling,929,0.0,['Promocja'],regał
114,ława Salga z szufladą szara,489,0.0,[],ława
115,biurko Salga z drzwiami i szufladą szare,859,0.0,[],biurko
116,regał Malcolm 80 cm z 3 drzwiami 2 szufladami i 2 półkami dąb canyon monument,899,0.0,['Promocja'],regał
117,witryna Erla 98 cm z 2 drzwiami i szufladą biały połysk,969,0.0,['Promocja'],witryna
118,komoda Riva 153 cm z 3 drzwiami i szufladą biała,1259,0.0,['NOWOŚĆ'],komoda
119,komplet kuchenny Junona Line 180 cm dąb delano jasny,499,0.0,['SZOKUJĄCO NISKA CENA'],komplet kuchenny
120,komoda MultiDo z 2 drzwiami i 2 szufladami dąb artisan,439,0.0,['NOWOŚĆ'],komoda
121,narożnik uniwersalny Evia z funkcją spania pojemnikiem i regulowanymi zagłówkami jasnoszary,3359,0.0,[],narożnik uniwersalny
122,krzesło tapicerowane Krum granatowe,139,0.0,['WYPRZEDAŻ'],krzesło tapicerowane
123,szafka wisząca Kaspian 143 cm otwarta dąb sonoma,299,0.0,['Promocja'],szafka wisząca
124,meblościanka Malcolm 206 cm dąb canyon monument,2579,0.0,['Promocja'],meblościanka
125,szafa dwudrzwiowa Flames 105 cm biały połysk,799,0.0,['WYPRZEDAŻ'],szafa dwudrzwiowa
126,szafa modułowa Flex 254x153 cm narożna z lustrem dąb monastery,9408,0.0,[],szafa modułowa
127,stelaż Ergo Plus 90x200,219,0.0,['Promocja'],stelaż
128,biurko Lara 117 cm z drzwiami i szufladą jesion Belarus,609,0.0,['Promocja'],biurko
129,szafa dwudrzwiowa Brando-2 91 cm z szufladami dąb artisan/biały,1199,0.0,[],szafa dwudrzwiowa
130,szafa dwudrzwiowa Flex 100 cm biała,2914,0.0,[],szafa dwudrzwiowa
131,łóżko Lara 120x200 jesion belarus,789,0.0,[],łóżko
132,regał Weston 120 cm z 2 drzwiami 2 szufladami i 3 półkami sosna old style,1249,0.0,[],regał
133,szafa sześciodrzwiowa Kent 227 cm z lustrem i szufladami kasztan,2669,0.0,['Promocja'],szafa sześciodrzwiowa
134,szafka kuchenna dolna Junona Line 60 cm kredowy połysk,305,0.0,[],szafka kuchenna dolna
135,szafa dwudrzwiowa Luca Baby z szufladami modrzew sibiu jasny,1599,0.0,[],szafa dwudrzwiowa
136,regał MultiDo 80 cm z 2 drzwiami dąb artisan,519,0.0,['NOWOŚĆ'],regał
137,narożnik lewostronny Barletta z funkcją spania i pojemnikiem szary,5899,0.0,['NOWOŚĆ'],narożnik lewostronny
138,szafka na buty Holten 92 cm dąb waterford,929,0.0,[],szafka na buty
139,szafka nocna Nepo Plus 49 cm z szufladą biała,159,0.0,['Promocja'],szafka nocna
140,komplet kuchenny narożny Top Line 270x180 cm biały połysk,4813,0.0,[],komplet kuchenny narożny
141,komoda Kent 62 cm z 5 szufladami kasztan,639,0.0,['Promocja'],komoda
142,witryna Erla 60 cm z drzwiami i 2 szufladami biały połysk,749,0.0,['Promocja'],witryna
143,biurko Space Office 140 cm dąb artisan,939,0.0,[],biurko
144,komoda MultiDo 45 cm z drzwiami i szufladą dąb artisan,199,0.0,['NOWOŚĆ'],komoda
